Rank,Name,Year,Aired On,No of Episode,Network,Duration(minute),Content Rating,Cast,Genre,Rating
#1,Move to Heaven,2021,Friday,10,Netflix,52,18+ Restricted (violence & profanity),"Lee Je Hoon, Tang Jun Sang, Hong Seung Hee, Jung Suk Yong, Jung Young Joo, Lee Moon Shik",Life,9.2
#2,Weak Hero Class 1,2022,Friday,8,Viki,40,18+ Restricted (violence & profanity),"Park Ji Hoon, Choi Hyun Wook, Hong Kyung, Kim Su Gyeom, Lee Yeon, Shin Seung Ho",Action,9.1
#3,Hospital Playlist Season 2,2021,Thursday,12,Netflix,100,15+ - Teens 15 or older,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin",Life,9.1
#4,Flower of Evil,2020," Wednesday, Thursday",16,tvN,70,15+ - Teens 15 or older,"Lee Joon Gi, Moon Chae Won, Jang Hee Jin, Seo Hyun Woo, Nam Ki Ae, Son Jong Hak",Thriller,9.1
#5,Hospital Playlist,2020,Thursday,12,Netflix,90,15+ - Teens 15 or older,"Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin",Life,9.1
#6,Alchemy of Souls,2022," Saturday, Sunday",20,Netflix,80,15+ - Teens 15 or older,"Lee Jae Wook, Jung So Min, Hwang Min Hyun, Shin Seung Ho, Yoo  Joon Sang, Oh Na Ra",Fantasy,9.1
#7,Reply 1988,2015," Friday, Saturday",20,tvN,95,15+ - Teens 15 or older,"Lee Hye Ri, Go Kyung Pyo, Ryu Joon Yeol, Park Bo Gum, Lee Dong Hwi, Sung Dong Il",Life,9.1
#8,My Mister,2018," Wednesday, Thursday",16,tvN,77,15+ - Teens 15 or older,"Lee Sun Kyun, IU, Park Ho San, Song Sae Byuk, Lee Ji Ah, Kim Young Min",Psychological,9
#9,Under the Queen's Umbrella,2022," Saturday, Sunday",16,Netflix,70,15+ - Teens 15 or older,"Kim Hye Soo, Kim Hae Sook, Choi Won Young, Kim Eui Sung, Moon Sang Min, Ok Ja Yeon",Historical,9
#10,Prison Playbook,2017," Wednesday, Thursday",16,Netflix,92,15+ - Teens 15 or older,"Park Hae Soo, Jung Kyung Ho, Krystal Jung, Im Hwa Young, Ye Soo Jung, Kim Kyung Nam",Life,9
#11,The Glory Part 2,2023,Friday,8,Netflix,55,18+ Restricted (violence & profanity),"Song Hye Kyo, Lee Do Hyun, Im Ji Yeon, Yeom Hye Ran, Park Sung Hoon, Jung Sung Il",Drama,9
#12,Mr. Queen,2020," Saturday, Sunday",20,tvN,75,15+ - Teens 15 or older,"Shin Hye Sun, Kim Jung Hyun, Bae Jong Ok, Kim Tae Woo, Jo Yun Hee, Seol In Ah",Comedy,9
#13,Mother,2018," Wednesday, Thursday",16,tvN,63,15+ - Teens 15 or older,"Lee Bo Young, Heo Yool, Lee Hye Young, Go Sung Hee, Lee Jae Yoon, Go Bo Gyeol",Melodrama,9
#14,Dr. Romantic Season 3,2023," Friday, Saturday",16,SBS,70,15+ - Teens 15 or older,"Han Seok Kyu, Lee Sung Kyung, Ahn Hyo Seop, Kim Joo Heon, So Ju Yeon, Jin Kyung",Medical,9
#15,Crash Landing on You,2019," Sunday, Saturday",16,Netflix,85,15+ - Teens 15 or older,"Hyun Bin, Son Ye Jin, Seo Ji Hye, Kim Jung Hyun, Yang Kyung Won, Lee Shin Young",Romance,9
#16,Alchemy of Souls Season 2,2022," Saturday, Sunday",10,Netflix,81,15+ - Teens 15 or older,"Lee Jae Wook, Go Youn Jung, Hwang Min Hyun, Shin Seung Ho, Yoo  Joon Sang, Oh Na Ra",Fantasy,9
#17,Extraordinary Attorney Woo,2022," Wednesday, Thursday",16,Netflix,77,15+ - Teens 15 or older,"Park Eun Bin, Kang Tae Oh, Kang Ki Young, Jeon Bae Soo, Baek Ji Won, Jin Kyung",Law,8.9
#18,Vincenzo,2021," Saturday, Sunday",20,Netflix,85,15+ - Teens 15 or older,"Song Joong Ki, Jeon Yeo Been, Ok Taec Yeon, Kim Yeo Jin, Jo Han Chul, Kwak Dong Yeon",Comedy,8.9
#19,Navillera,2021," Monday, Tuesday",12,Netflix,86,15+ - Teens 15 or older,"Park In Hwan, Song Kang, Na Moon Hee, Hong Seung Hee, Kim Tae Hoon, Yoon  Ji Hye",Life,8.9
#20,It's Okay to Not Be Okay,2020," Saturday, Sunday",16,Netflix,87,15+ - Teens 15 or older,"Kim Soo Hyun, Seo Yea Ji, Oh Jung Se, Park Gyu Young, Jang Young Nam, Kim Chang Wan",Psychological,8.9
#21,Signal,2016," Friday, Saturday",16,tvN,88,15+ - Teens 15 or older,"Lee Je Hoon, Kim Hye Soo, Jo Jin Woong, Kim Won Hae, Lee Yoo Joon, Jang Hyun Sung",Thriller,8.9
#22,The Glory,2022,Friday,8,Netflix,89,18+ Restricted (violence & profanity),"Song Hye Kyo, Lee Do Hyun, Im Ji Yeon, Yeom Hye Ran, Park Sung Hoon, Jung Sung Il",Drama,8.9
#23,The Good Bad Mother,2023," Wednesday, Thursday",14,"Netflix,",90,15+ - Teens 15 or older,"Ra Mi Ran, Lee Do Hyun, Ahn Eun Jin, Yoo In Soo, Choi Moo Sung, Jung Woong In",Life,8.9
#24,Happiness,2021," Friday, Saturday",12,tvN,91,15+ - Teens 15 or older,"Han Hyo Joo, Park Hyung Sik, Jo  Woo Jin, Lee Joon Hyuk, Park Joo Hee, Baek Hyun Jin",Sci-Fi,8.9
#25,Kingdom Season 2,2020,Friday,6,Netflix,92,18+ Restricted (violence & profanity),"Joo Ji Hoon, Bae Doo Na, Kim Sung Gyu, Ryu Seung Ryong, Kim  Sang Ho, Jun Suk Ho",Thriller,8.9
#26,Mr. Sunshine,2018," Saturday, Sunday",24,"Netflix,",93,15+ - Teens 15 or older,"Lee Byung Hun, Kim Tae Ri, Yoo Yeon Seok, Byun Yo Han, Kim Min Jung, Kim Gab Soo",Historical,8.9
